Date,AAPL,GOOGL,JPM,MSFT,NVDA
2024-01-19,189.41592407226562,145.1800994873047,162.32745361328125,391.0716857910156,59.45465850830078
2024-01-22,191.71981811523438,144.7932891845703,162.1368408203125,388.9528503417969,59.6175651550293
2024-01-23,192.9954071044922,145.8346710205078,161.0693359375,391.2972717285156,59.836421966552734
2024-01-24,192.32302856445312,147.48106384277344,162.50856018066406,394.88751220703125,61.32451248168945
2024-01-25,191.99673461914062,150.62509155273438,164.83419799804688,397.1535339355469,61.57936096191406
2024-01-26,190.26629638671875,150.94247436523438,164.20513916015625,396.2314147949219,60.99371337890625
2024-01-29,189.58401489257812,152.2516326904297,164.63401794433594,401.91107177734375,62.426841735839844
2024-01-30,185.93531799316406,150.2184600830078,168.0081329345703,400.8026123046875,62.73564910888672
2024-01-31,182.3360595703125,138.9515838623047,166.18763732910156,390.0024108886719,61.48941421508789
2024-02-01,184.76852416992188,140.0028839111328,165.587158203125,396.0841979980469,62.988494873046875
2024-02-02,183.76983642578125,141.21287536621094,166.54031372070312,403.3824768066406,66.11958312988281
2024-02-05,185.57937622070312,142.50222778320312,166.32106018066406,397.91864013671875,69.2896499633789
2024-02-06,187.1812286376953,142.91876220703125,166.8929443359375,397.7616271972656,68.18132019042969
2024-02-07,187.2899932861328,144.34695434570312,167.2074737548828,406.1584777832031,70.0561752319336
2024-02-08,186.21217346191406,144.71395874023438,166.60704040527344,406.2174072265625,69.59845733642578
2024-02-09,186.9745635986328,147.7786102294922,166.8071746826172,412.5346374511719,72.08893585205078
2024-02-12,185.2914276123047,146.32064819335938,167.5506134033203,407.345458984375,72.20386505126953
2024-02-13,183.20236206054688,143.9502410888672,166.09234619140625,398.57586669921875,72.08393859863281
2024-02-14,182.3212127685547,144.74368286132812,167.7793731689453,402.4282531738281,73.85486602783203
2024-02-15,182.03408813476562,141.59970092773438,171.4393768310547,399.5487976074219,72.61361694335938
2024-02-16,180.49949645996094,139.36813354492188,170.6387481689453,397.0919189453125,72.56864166259766
2024-02-20,179.75692749023438,139.96319580078125,171.30592346191406,395.84381103515625,69.4095687866211
2024-02-21,180.5093994140625,141.38148498535156,172.4210968017578,395.2443542480469,67.4307861328125
2024-02-22,182.5390167236328,142.90884399414062,174.48944091796875,404.55096435546875,78.49002838134766
2024-02-23,180.7073974609375,142.77993774414062,175.3662872314453,403.2635803222656,78.76885986328125
2024-02-26,179.36093139648438,136.44229125976562,174.7657928466797,400.51190185546875,79.04368591308594
2024-02-27,180.81629943847656,137.7415771484375,174.85159301757812,400.4529113769531,78.65292358398438
2024-02-28,179.6183319091797,135.2620849609375,175.73802185058594,400.6887512207031,77.61554718017578
2024-02-29,178.95498657226562,137.32501220703125,177.3392333984375,406.5067138671875,79.06368255615234
