Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,UNH,V
2025-10-08,257.3320007324219,225.22000122070312,244.2881317138672,187.4964599609375,301.1236877441406,522.676513671875,189.0892333984375,147.47805786132812,364.6148376464844,349.2198181152344
2025-10-09,253.32330322265625,227.74000549316406,241.2023162841797,188.87039184570312,302.6093444824219,520.2366943359375,192.54885864257812,147.3704071044922,362.41680908203125,344.9261779785156
2025-10-10,244.57806396484375,216.3699951171875,236.2490692138672,188.51455688476562,298.01373291015625,508.84405517578125,183.139892578125,146.49937438964844,349.41595458984375,341.5567932128906
2025-10-13,246.96133422851562,220.07000732421875,243.81875610351562,188.69247436523438,305.0260314941406,511.9212341308594,188.29933166503906,144.34628295898438,353.5163269042969,341.2088928222656
2025-10-14,247.07101440429688,216.38999938964844,245.1169891357422,188.64305114746094,299.19232177734375,511.4432373046875,180.01022338867188,145.9806671142578,354.7680969238281,346.25799560546875
2025-10-15,248.63658142089844,215.57000732421875,250.68942260742188,188.9593505859375,302.767822265625,511.3038024902344,179.8102569580078,144.2777557373047,355.9705810546875,343.5843811035156
2025-10-16,246.75192260742188,214.47000122070312,251.1188507080078,189.8983612060547,295.6861572265625,509.4913330078125,181.7900390625,146.41128540039062,351.55487060546875,333.3570556640625
2025-10-17,251.5782470703125,213.0399932861328,252.9563446044922,190.98565673828125,294.7155456542969,511.4532470703125,183.19989013671875,148.17291259765625,351.4858703613281,339.8074951171875
2025-10-20,261.50018310546875,216.47999572753906,256.2019348144531,191.4798583984375,299.4696350097656,514.6498413085938,182.6199493408203,148.7209930419922,359.25286865234375,342.3121643066406
2025-10-21,262.0286560058594,222.02999877929688,250.12020874023438,189.66114807128906,294.2500305175781,515.5162963867188,181.14010620117188,148.38821411132812,360.1300964355469,345.0950927734375
2025-10-22,257.72088623046875,217.9499969482422,251.34854125976562,190.70889282226562,291.2984924316406,518.3843994140625,180.2602081298828,148.9558563232422,356.3056945800781,343.25634765625
2025-10-23,258.84765625,221.08999633789062,252.73666381835938,190.24432373046875,291.72442626953125,518.404296875,182.13999938964844,148.96566772460938,355.2806396484375,343.85272216796875
2025-10-24,262.0785827636719,224.2100067138672,259.5673828125,188.1982421875,297.5680236816406,521.441650390625,186.23953247070312,150.28330993652344,357.3012390136719,345.26409912109375
2025-10-27,268.0516662597656,226.97000122070312,268.9046630859375,188.0994110107422,301.2425231933594,529.3189697265625,191.46897888183594,149.54417419433594,360.7313232421875,345.7013854980469
2025-10-28,268.2411193847656,229.25,267.1071472167969,184.7683868408203,302.4409484863281,539.8252563476562,201.0079345703125,149.1795196533203,362.5646667480469,344.7869873046875
2025-10-29,268.93914794921875,230.3000030517578,274.197509765625,184.44219970703125,302.58953857421875,539.307373046875,207.01727294921875,146.6171417236328,350.1650695800781,339.20123291015625
2025-10-30,270.63433837890625,222.86000061035156,281.09814453125,186.86387634277344,306.48199462890625,523.582763671875,202.8677215576172,147.41542053222656,339.8058166503906,342.9283752441406
2025-10-31,269.6072692871094,244.22000122070312,280.8085021972656,186.68594360351562,308.1459045410156,515.6656494140625,202.4677734375,148.19398498535156,336.6615295410156,338.6645202636719
2025-11-03,268.29095458984375,254.0,283.3350830078125,184.1061248779297,306.3928527832031,514.888916015625,206.85728454589844,145.8780059814453,329.00299072265625,334.847900390625
2025-11-04,269.2781982421875,249.32000732421875,277.1634521484375,184.69918823242188,306.2937927246094,512.2001342773438,198.66818237304688,145.040283203125,326.0854187011719,338.2271728515625
2025-11-05,269.3779296875,250.1999969482422,283.92425537109375,183.84913635253906,308.7005615234375,505.0597839355469,195.18858337402344,143.6802520751953,323.03973388671875,337.9687805175781
2025-11-06,269.0089416503906,243.0399932861328,284.3636779785156,184.80792236328125,310.4239501953125,495.04144287109375,188.05935668945312,144.01535034179688,316.9483642578125,334.90753173828125
2025-11-07,267.7126159667969,244.41000366210938,278.45172119140625,184.4125518798828,311.20635986328125,494.7626037597656,188.1293487548828,144.85304260253906,319.56036376953125,333.9732666015625
2025-11-10,268.93035888671875,248.39999389648438,289.7064208984375,186.2312774658203,313.8607482910156,503.9045715332031,199.0281524658203,143.3944549560547,316.96807861328125,332.8103942871094
2025-11-11,274.73956298828125,249.10000610351562,290.914794921875,191.58859252929688,312.6028747558594,506.573486328125,193.1387939453125,146.3904571533203,322.75390625,336.8556213378906
2025-11-12,272.9628601074219,244.1999969482422,286.3210144042969,192.14210510253906,317.34710693359375,509.0233154296875,193.7787322998047,145.86813354492188,334.1973876953125,337.4830017089844
2025-11-13,272.44384765625,237.5800018310547,278.19207763671875,192.99217224121094,306.5216064453125,501.205810546875,186.8394775390625,145.81886291503906,327.7511901855469,334.6945495605469
2025-11-14,271.9048156738281,234.69000244140625,276.0350036621094,193.664306640625,300.7076721191406,508.0672607421875,190.1491241455078,145.53305053710938,317.2440490722656,328.6595153808594
2025-11-17,266.9639892578125,232.8699951171875,284.63330078125,197.27210998535156,297.4986572265625,505.3883972167969,186.5795135498047,143.7098388671875,315.92327880859375,324.4071350097656
2025-11-18,266.9440612792969,222.5500030517578,283.8943176269531,197.68724060058594,296.5478515625,491.74517822265625,181.340087890625,144.8629150390625,309.0827941894531,319.85595703125
2025-11-19,268.06195068359375,222.69000244140625,292.4127502441406,200.168212890625,300.3709411621094,485.1027526855469,186.49951171875,144.8629150390625,304.6571960449219,322.7838439941406
2025-11-20,265.7562561035156,217.13999938964844,289.05731201171875,200.72174072265625,295.5277099609375,477.3404846191406,180.6201629638672,146.0455322265625,307.07208251953125,322.4352722167969
2025-11-21,270.98651123046875,220.69000244140625,299.25347900390625,201.54214477539062,295.171142578125,471.04486083984375,178.86036682128906,148.73602294921875,315.3811950683594,326.6279602050781
2025-11-24,275.4083251953125,226.27999877929688,318.14776611328125,203.6672821044922,295.1513366699219,472.92059326171875,182.52996826171875,144.85304260253906,314.4743957519531,327.9424743652344
2025-11-25,276.4563903808594,229.6699981689453,323.0011901855469,205.57713317871094,300.103515625,475.90374755859375,177.80047607421875,146.34120178222656,321.6006774902344,333.15093994140625
2025-11-26,277.0352783203125,229.16000366210938,319.5159606933594,206.46241760253906,304.6991882324219,484.3943786621094,180.24020385742188,146.1046600341797,324.98150634765625,332.41400146484375
2025-11-28,278.3328857421875,233.22000122070312,319.7456359863281,205.8258056640625,310.087158203125,490.88958740234375,176.98056030273438,146.01597595214844,325.0406494140625,333.0613098144531
2025-12-01,282.57501220703125,233.8800048828125,314.46282958984375,204.254150390625,305.9669494628906,485.6315612792969,179.90025329589844,145.306396484375,318.57470703125,329.02801513671875
2025-12-02,285.6592712402344,234.4199981689453,315.38153076171875,204.333740234375,304.9368896484375,488.8841552734375,181.44007873535156,143.74925231933594,319.8856506347656,328.26116943359375
2025-12-03,283.623046875,232.3800048828125,319.19635009765625,204.2442169189453,309.1462707519531,476.64208984375,179.57028198242188,144.5869598388672,334.83807373046875,328.2511901855469
2025-12-04,280.179443359375,229.11000061035156,317.1890869140625,201.40928649902344,313.0783386230469,479.7449951171875,183.37008666992188,143.25648498535156,328.707275390625,325.7515563964844
2025-12-05,278.26300048828125,229.52999877929688,320.8341064453125,200.8621826171875,312.0284729003906,482.0597229003906,182.40013122558594,141.37411499023438,326.164306640625,329.8744812011719
2025-12-08,277.3746643066406,226.88999938964844,313.49932861328125,200.5538330078125,312.1968078613281,489.9018249511719,185.5399627685547,136.33807373046875,321.12347412109375,325.4926452636719
2025-12-09,276.66595458984375,227.9199981689453,316.85693359375,198.90261840820312,297.6373596191406,490.8995361328125,184.95999145507812,137.60940551757812,321.1036376953125,325.154052734375
2025-12-10,278.26300048828125,231.77999877929688,319.9847412109375,205.44781494140625,307.1455383300781,477.4701843261719,183.77005004882812,137.79666137695312,325.83685302734375,324.38720703125
2025-12-11,277.514404296875,230.27999877929688,312.210205078125,208.8994598388672,314.3460693359375,482.3690185546875,180.92019653320312,138.72305297851562,334.1323547363281,344.2052001953125
2025-12-12,277.7639465332031,226.19000244140625,309.07244873046875,210.46116638183594,315.4751892089844,477.4402770996094,175.01052856445312,140.77294921875,339.20294189453125,346.3960876464844
2025-12-15,273.6016540527344,222.5399932861328,308.003173828125,213.03746032714844,316.9608154296875,473.73870849609375,176.28045654296875,143.02981567382812,338.4686584472656,345.4599914550781
2025-12-16,274.1007385253906,222.55999755859375,306.3543395996094,208.19322204589844,312.5335693359375,475.3051452636719,177.71038818359375,143.10865783691406,331.62188720703125,343.68731689453125
2025-12-17,271.33587646484375,221.27000427246094,296.5112609863281,209.2177734375,311.9690246582031,475.0357360839844,170.93075561523438,145.67103576660156,329.07171630859375,342.9902038574219
2025-12-18,271.68524169921875,226.75999450683594,302.2472229003906,207.2084503173828,310.0079345703125,482.87786865234375,174.1305694580078,143.4141845703125,325.608642578125,344.5836181640625
2025-12-19,273.1625061035156,227.35000610351562,306.9439392089844,205.27871704101562,314.17767333984375,484.8134460449219,180.98020935058594,142.36952209472656,324.8941955566406,347.81024169921875
2025-12-22,270.4674987792969,228.42999267578125,309.56207275390625,206.22369384765625,320.0014953613281,483.81573486328125,183.6800537109375,140.6251220703125,322.651611328125,350.6385498046875
2025-12-23,271.85491943359375,232.13999938964844,314.1288757324219,204.69183349609375,322.8143310546875,485.7413330078125,189.19976806640625,141.1080322265625,322.29437255859375,351.9232177734375
2025-12-24,273.3022155761719,232.3800048828125,313.8690490722656,206.68125915527344,326.02337646484375,486.90863037109375,188.59979248046875,142.3990936279297,325.05291748046875,353.67596435546875
2025-12-26,272.8929748535156,232.52000427246094,313.2894592285156,206.5320587158203,324.7754211425781,486.599365234375,190.51968383789062,142.6454620361328,329.2701416015625,353.53656005859375
2025-12-29,273.2523498535156,232.07000732421875,313.33941650390625,206.46241760253906,320.6551818847656,485.9907531738281,188.20980834960938,142.47793579101562,326.4024353027344,353.14813232421875
2025-12-30,272.5735778808594,232.52999877929688,313.6292419433594,205.81585693359375,320.328369140625,486.3699035644531,187.52984619140625,141.9654541015625,329.5976257324219,352.1622314453125
2025-12-31,271.3558349609375,230.82000732421875,312.7798156738281,205.85565185546875,319.1398010253906,482.5186767578125,186.4899139404297,141.2361602783203,327.56341552734375,349.26422119140625
2026-01-02,270.5074157714844,226.5,314.9283142089844,206.2535400390625,322.36865234375,471.8630065917969,188.83978271484375,139.73814392089844,333.8049011230469,345.0516662597656
2026-01-05,266.7643737792969,233.05999755859375,316.3173522949219,203.22959899902344,330.8468322753906,471.773193359375,188.1098175048828,138.33868408203125,339.38153076171875,352.34149169921875
2026-01-06,261.8734436035156,240.92999267578125,314.1188659667969,203.70706176757812,332.90625,477.4203186035156,187.22987365722656,137.88536071777344,346.2779235839844,356.08599853515625
2026-01-07,259.8471984863281,241.55999755859375,321.7535095214844,206.39279174804688,325.3250732421875,482.3690185546875,189.09976196289062,136.04241943359375,339.06402587890625,354.41290283203125
2026-01-08,258.55963134765625,246.2899932861328,325.2110595703125,204.6619873046875,328.11083984375,477.0212097167969,185.0299835205078,139.48190307617188,344.1742858886719,350.7779846191406
2026-01-09,258.8890075683594,247.3800048828125,328.3388671875,203.30918884277344,327.5138854980469,478.1885681152344,184.84999084472656,139.81698608398438,341.3264465332031,348.3280944824219
2026-01-12,259.76739501953125,246.47000122070312,331.62652587890625,208.6110076904297,322.8377990722656,476.09332275390625,184.92999267578125,141.38400268554688,337.8832092285156,341.7851867675781
2026-01-13,260.5658874511719,242.60000610351562,335.7336730957031,212.5202178955078,309.3169860839844,469.5981750488281,185.79994201660156,142.15269470214844,331.35394287109375,326.5283508300781
2026-01-14,259.4779052734375,236.64999389648438,335.603759765625,217.39430236816406,306.30242919921875,458.3338928222656,183.1300811767578,144.23216247558594,332.3760070800781,327.81304931640625
2026-01-15,257.73114013671875,238.17999267578125,332.5458984375,218.40892028808594,307.68536376953125,455.6200866699219,187.03988647460938,142.5370635986328,336.34515380859375,326.39886474609375
2026-01-16,255.05613708496094,239.1199951171875,329.7678527832031,217.50372314453125,310.8789978027344,458.8127746582031,186.21990966796875,142.43849182128906,328.4664001464844,326.94659423828125
2026-01-20,246.2425079345703,231.0,321.77349853515625,217.0561065673828,301.19854736328125,453.48492431640625,178.06036376953125,144.8727569580078,335.8192443847656,324.4768371582031
2026-01-21,247.1907501220703,231.30999755859375,328.1490173339844,216.85716247558594,300.50213623046875,443.0986328125,183.31008911132812,143.94635009765625,345.0673522949219,323.9390563964844
2026-01-22,247.8894500732422,234.33999633789062,330.3074951171875,217.33462524414062,302.0840148925781,450.1126403808594,184.82998657226562,147.76034545898438,351.7355041503906,325.01458740234375
2026-01-23,247.58001708984375,239.16000366210938,327.6993103027344,218.97589111328125,296.2041015625,464.888916015625,187.6598358154297,149.02780151367188,353.5116882324219,324.8353271484375
2026-01-26,254.9363555908203,238.4199981689453,333.02557373046875,220.3187713623047,299.5072021484375,469.20904541015625,186.4599151611328,148.3727569580078,348.9273376464844,327.13580322265625
2026-01-27,257.791015625,244.67999267578125,334.31463623046875,223.25315856933594,298.7809143066406,479.485595703125,188.50979614257812,147.23133850097656,280.5191650390625,323.9191589355469
2026-01-28,255.96446228027344,243.00999450683594,335.7736511230469,226.5158233642578,299.2385559082031,480.533203125,191.5096435546875,146.2388153076172,291.7518310546875,325.6320495605469
2026-01-29,257.801025390625,241.72999572753906,338.0120544433594,226.0880889892578,304.8598327636719,432.5128173828125,192.49957275390625,148.77967834472656,290.0351867675781,330.4321594238281
